fullname,permanentNumber,code,Constructors,points,wins
Romain Grosjean,8,GRO,Haas F1 Team,20,0
Pierre Gasly,10,GAS,Toro Rosso,18,0
Charles Leclerc,16,LEC,Sauber,13,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Marcus Ericsson,9,ERI,Sauber,5,0
Lance Stroll,18,STR,Williams,4,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,213,5
Sebastian Vettel,5,VET,Ferrari,189,4
Kimi Räikkönen,7,RAI,Ferrari,146,0
Valtteri Bottas,77,BOT,Mercedes,132,0
Daniel Ricciardo,3,RIC,Red Bull,118,2
Max Verstappen,33,VER,Red Bull,105,1
Nico Hülkenberg,27,HUL,Renault,52,0
Kevin Magnussen,20,MAG,Haas F1 Team,45,0
Fernando Alonso,14,ALO,McLaren,44,0
Sergio Pérez,11,PER,Force India,30,0
Carlos Sainz,55,SAI,Renault,30,0
Esteban Ocon,31,OCO,Force India,29,0
Pierre Gasly,10,GAS,Toro Rosso,26,0
Romain Grosjean,8,GRO,Haas F1 Team,21,0
Charles Leclerc,16,LEC,Sauber,13,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Marcus Ericsson,9,ERI,Sauber,5,0
Lance Stroll,18,STR,Williams,4,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,231,5
Sebastian Vettel,5,VET,Ferrari,214,5
Kimi Räikkönen,7,RAI,Ferrari,146,0
Valtteri Bottas,77,BOT,Mercedes,144,0
Max Verstappen,33,VER,Red Bull,120,1
Daniel Ricciardo,3,RIC,Red Bull,118,2
Nico Hülkenberg,27,HUL,Renault,52,0
Kevin Magnussen,20,MAG,Haas F1 Team,49,0
Fernando Alonso,14,ALO,McLaren,44,0
Sergio Pérez,11,PER,Force India,40,0
Esteban Ocon,31,OCO,Force India,37,0
Carlos Sainz,55,SAI,Renault,30,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Romain Grosjean,8,GRO,Haas F1 Team,27,0
Charles Leclerc,16,LEC,Sauber,13,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Marcus Ericsson,9,ERI,Sauber,6,0
Lance Stroll,18,STR,Williams,4,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,256,6
Sebastian Vettel,5,VET,Ferrari,226,5
Kimi Räikkönen,7,RAI,Ferrari,164,0
Valtteri Bottas,77,BOT,Mercedes,159,0
Max Verstappen,33,VER,Red Bull,130,1
Daniel Ricciardo,3,RIC,Red Bull,118,2
Nico Hülkenberg,27,HUL,Renault,52,0
Kevin Magnussen,20,MAG,Haas F1 Team,49,0
Sergio Pérez,11,PER,Force India,46,0
Esteban Ocon,31,OCO,Force India,45,0
Fernando Alonso,14,ALO,McLaren,44,0
Carlos Sainz,55,SAI,Renault,34,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Romain Grosjean,8,GRO,Haas F1 Team,27,0
Charles Leclerc,16,LEC,Sauber,13,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,6,0
Marcus Ericsson,9,ERI,Sauber,6,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,281,7
Sebastian Vettel,5,VET,Ferrari,241,5
Kimi Räikkönen,7,RAI,Ferrari,174,0
Valtteri Bottas,77,BOT,Mercedes,171,0
Max Verstappen,33,VER,Red Bull,148,1
Daniel Ricciardo,3,RIC,Red Bull,126,2
Nico Hülkenberg,27,HUL,Renault,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Kevin Magnussen,20,MAG,Haas F1 Team,49,0
Sergio Pérez,11,PER,Force India,46,0
Esteban Ocon,31,OCO,Force India,45,0
Carlos Sainz,55,SAI,Renault,38,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Romain Grosjean,8,GRO,Haas F1 Team,27,0
Charles Leclerc,16,LEC,Sauber,15,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,6,0
Marcus Ericsson,9,ERI,Sauber,6,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,306,8
Sebastian Vettel,5,VET,Ferrari,256,5
Valtteri Bottas,77,BOT,Mercedes,189,0
Kimi Räikkönen,7,RAI,Ferrari,186,0
Max Verstappen,33,VER,Red Bull,158,1
Daniel Ricciardo,3,RIC,Red Bull,134,2
Kevin Magnussen,20,MAG,Haas F1 Team,53,0
Nico Hülkenberg,27,HUL,Renault,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Sergio Pérez,11,PER,Force India,47,0
Esteban Ocon,31,OCO,Force India,47,0
Carlos Sainz,55,SAI,Renault,38,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Romain Grosjean,8,GRO,Haas F1 Team,27,0
Charles Leclerc,16,LEC,Sauber,21,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,6,0
Marcus Ericsson,9,ERI,Sauber,6,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,331,9
Sebastian Vettel,5,VET,Ferrari,264,5
Valtteri Bottas,77,BOT,Mercedes,207,0
Kimi Räikkönen,7,RAI,Ferrari,196,0
Max Verstappen,33,VER,Red Bull,173,1
Daniel Ricciardo,3,RIC,Red Bull,146,2
Sergio Pérez,11,PER,Force India,53,0
Kevin Magnussen,20,MAG,Haas F1 Team,53,0
Nico Hülkenberg,27,HUL,Renault,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Esteban Ocon,31,OCO,Force India,49,0
Carlos Sainz,55,SAI,Renault,39,0
Romain Grosjean,8,GRO,Haas F1 Team,31,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Charles Leclerc,16,LEC,Sauber,21,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Lance Stroll,18,STR,Williams,6,0
Marcus Ericsson,9,ERI,Sauber,6,0
Brendon Hartley,28,HAR,Toro Rosso,2,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,346,9
Sebastian Vettel,5,VET,Ferrari,276,5
Kimi Räikkönen,7,RAI,Ferrari,221,1
Valtteri Bottas,77,BOT,Mercedes,217,0
Max Verstappen,33,VER,Red Bull,191,1
Daniel Ricciardo,3,RIC,Red Bull,146,2
Nico Hülkenberg,27,HUL,Renault,61,0
Sergio Pérez,11,PER,Force India,57,0
Kevin Magnussen,20,MAG,Haas F1 Team,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Esteban Ocon,31,OCO,Force India,49,0
Carlos Sainz,55,SAI,Renault,45,0
Romain Grosjean,8,GRO,Haas F1 Team,31,0
Pierre Gasly,10,GAS,Toro Rosso,28,0
Charles Leclerc,16,LEC,Sauber,21,0
Stoffel Vandoorne,2,VAN,McLaren,8,0
Marcus Ericsson,9,ERI,Sauber,7,0
Lance Stroll,18,STR,Williams,6,0
Brendon Hartley,28,HAR,Toro Rosso,4,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,358,9
Sebastian Vettel,5,VET,Ferrari,294,5
Kimi Räikkönen,7,RAI,Ferrari,236,1
Valtteri Bottas,77,BOT,Mercedes,227,0
Max Verstappen,33,VER,Red Bull,216,2
Daniel Ricciardo,3,RIC,Red Bull,146,2
Nico Hülkenberg,27,HUL,Renault,69,0
Sergio Pérez,11,PER,Force India,57,0
Kevin Magnussen,20,MAG,Haas F1 Team,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Esteban Ocon,31,OCO,Force India,49,0
Carlos Sainz,55,SAI,Renault,45,0
Romain Grosjean,8,GRO,Haas F1 Team,31,0
Pierre Gasly,10,GAS,Toro Rosso,29,0
Charles Leclerc,16,LEC,Sauber,27,0
Stoffel Vandoorne,2,VAN,McLaren,12,0
Marcus Ericsson,9,ERI,Sauber,9,0
Lance Stroll,18,STR,Williams,6,0
Brendon Hartley,28,HAR,Toro Rosso,4,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,383,10
Sebastian Vettel,5,VET,Ferrari,302,5
Kimi Räikkönen,7,RAI,Ferrari,251,1
Valtteri Bottas,77,BOT,Mercedes,237,0
Max Verstappen,33,VER,Red Bull,234,2
Daniel Ricciardo,3,RIC,Red Bull,158,2
Nico Hülkenberg,27,HUL,Renault,69,0
Sergio Pérez,11,PER,Force India,58,0
Kevin Magnussen,20,MAG,Haas F1 Team,55,0
Fernando Alonso,14,ALO,McLaren,50,0
Esteban Ocon,31,OCO,Force India,49,0
Carlos Sainz,55,SAI,Renault,45,0
Romain Grosjean,8,GRO,Haas F1 Team,35,0
Charles Leclerc,16,LEC,Sauber,33,0
Pierre Gasly,10,GAS,Toro Rosso,29,0
Stoffel Vandoorne,2,VAN,McLaren,12,0
Marcus Ericsson,9,ERI,Sauber,9,0
Lance Stroll,18,STR,Williams,6,0
Brendon Hartley,28,HAR,Toro Rosso,4,0
Sergey Sirotkin,35,SIR,Williams,1,0
Lewis Hamilton,44,HAM,Mercedes,408,11
Sebastian Vettel,5,VET,Ferrari,320,5
Kimi Räikkönen,7,RAI,Ferrari,251,1
Max Verstappen,33,VER,Red Bull,249,2
Valtteri Bottas,77,BOT,Mercedes,247,0
Daniel Ricciardo,3,RIC,Red Bull,170,2
Nico Hülkenberg,27,HUL,Renault,69,0
Sergio Pérez,11,PER,Force India,62,0
Kevin Magnussen,20,MAG,Haas F1 Team,56,0
Carlos Sainz,55,SAI,Renault,53,0
Fernando Alonso,14,ALO,McLaren,50,0
Esteban Ocon,31,OCO,Force India,49,0
Charles Leclerc,16,LEC,Sauber,39,0
Romain Grosjean,8,GRO,Haas F1 Team,37,0
Pierre Gasly,10,GAS,Toro Rosso,29,0
Stoffel Vandoorne,2,VAN,McLaren,12,0
Marcus Ericsson,9,ERI,Sauber,9,0
Lance Stroll,18,STR,Williams,6,0
Brendon Hartley,28,HAR,Toro Rosso,4,0
Sergey Sirotkin,35,SIR,Williams,1,0
Valtteri Bottas,77,BOT,Mercedes,26,1
Lewis Hamilton,44,HAM,Mercedes,18,0
Max Verstappen,33,VER,Red Bull,15,0
Sebastian Vettel,5,VET,Ferrari,12,0
Charles Leclerc,16,LEC,Ferrari,10,0
Kevin Magnussen,20,MAG,Haas F1 Team,8,0
Nico Hülkenberg,27,HUL,Renault,6,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Lance Stroll,18,STR,Racing Point,2,0
Daniil Kvyat,26,KVY,Toro Rosso,1,0
Pierre Gasly,10,GAS,Red Bull,0,0
Lando Norris,4,NOR,McLaren,0,0
Sergio Pérez,11,PER,Racing Point,0,0
Alexander Albon,23,ALB,Toro Rosso,0,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Daniel Ricciardo,3,RIC,Renault,0,0
Carlos Sainz,55,SAI,McLaren,0,0
Valtteri Bottas,77,BOT,Mercedes,44,1
Lewis Hamilton,44,HAM,Mercedes,43,1
Max Verstappen,33,VER,Red Bull,27,0
Charles Leclerc,16,LEC,Ferrari,26,0
Sebastian Vettel,5,VET,Ferrari,22,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Lando Norris,4,NOR,McLaren,8,0
Kevin Magnussen,20,MAG,Haas F1 Team,8,0
Nico Hülkenberg,27,HUL,Renault,6,0
Pierre Gasly,10,GAS,Red Bull,4,0
Alexander Albon,23,ALB,Toro Rosso,2,0
Lance Stroll,18,STR,Racing Point,2,0
Daniil Kvyat,26,KVY,Toro Rosso,1,0
Sergio Pérez,11,PER,Racing Point,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Daniel Ricciardo,3,RIC,Renault,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Carlos Sainz,55,SAI,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,68,2
Valtteri Bottas,77,BOT,Mercedes,62,1
Max Verstappen,33,VER,Red Bull,39,0
Sebastian Vettel,5,VET,Ferrari,37,0
Charles Leclerc,16,LEC,Ferrari,36,0
Pierre Gasly,10,GAS,Red Bull,13,0
Kimi Räikkönen,7,RAI,Alfa Romeo,12,0
Lando Norris,4,NOR,McLaren,8,0
Kevin Magnussen,20,MAG,Haas F1 Team,8,0
Nico Hülkenberg,27,HUL,Renault,6,0
Daniel Ricciardo,3,RIC,Renault,6,0
Sergio Pérez,11,PER,Racing Point,5,0
Alexander Albon,23,ALB,Toro Rosso,3,0
Lance Stroll,18,STR,Racing Point,2,0
Daniil Kvyat,26,KVY,Toro Rosso,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Carlos Sainz,55,SAI,McLaren,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Valtteri Bottas,77,BOT,Mercedes,87,2
Lewis Hamilton,44,HAM,Mercedes,86,2
Sebastian Vettel,5,VET,Ferrari,52,0
Max Verstappen,33,VER,Red Bull,51,0
Charles Leclerc,16,LEC,Ferrari,47,0
Sergio Pérez,11,PER,Racing Point,13,0
Pierre Gasly,10,GAS,Red Bull,13,0
Kimi Räikkönen,7,RAI,Alfa Romeo,13,0
Lando Norris,4,NOR,McLaren,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,8,0
Nico Hülkenberg,27,HUL,Renault,6,0
Carlos Sainz,55,SAI,McLaren,6,0
Daniel Ricciardo,3,RIC,Renault,6,0
Lance Stroll,18,STR,Racing Point,4,0
Alexander Albon,23,ALB,Toro Rosso,3,0
Daniil Kvyat,26,KVY,Toro Rosso,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,112,3
Valtteri Bottas,77,BOT,Mercedes,105,2
Max Verstappen,33,VER,Red Bull,66,0
Sebastian Vettel,5,VET,Ferrari,64,0
Charles Leclerc,16,LEC,Ferrari,57,0
Pierre Gasly,10,GAS,Red Bull,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Kimi Räikkönen,7,RAI,Alfa Romeo,13,0
Lando Norris,4,NOR,McLaren,12,0
Carlos Sainz,55,SAI,McLaren,10,0
Daniel Ricciardo,3,RIC,Renault,6,0
Nico Hülkenberg,27,HUL,Renault,6,0
Lance Stroll,18,STR,Racing Point,4,0
Alexander Albon,23,ALB,Toro Rosso,3,0
Daniil Kvyat,26,KVY,Toro Rosso,3,0
Romain Grosjean,8,GRO,Haas F1 Team,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,137,4
Valtteri Bottas,77,BOT,Mercedes,120,2
Sebastian Vettel,5,VET,Ferrari,82,0
Max Verstappen,33,VER,Red Bull,78,0
Charles Leclerc,16,LEC,Ferrari,57,0
Pierre Gasly,10,GAS,Red Bull,32,0
Carlos Sainz,55,SAI,McLaren,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Kimi Räikkönen,7,RAI,Alfa Romeo,13,0
Lando Norris,4,NOR,McLaren,12,0
Daniil Kvyat,26,KVY,Toro Rosso,9,0
Daniel Ricciardo,3,RIC,Renault,8,0
Alexander Albon,23,ALB,Toro Rosso,7,0
Nico Hülkenberg,27,HUL,Renault,6,0
Lance Stroll,18,STR,Racing Point,4,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,162,5
Valtteri Bottas,77,BOT,Mercedes,133,2
Sebastian Vettel,5,VET,Ferrari,100,0
Max Verstappen,33,VER,Red Bull,88,0
Charles Leclerc,16,LEC,Ferrari,72,0
Pierre Gasly,10,GAS,Red Bull,36,0
Carlos Sainz,55,SAI,McLaren,18,0
Daniel Ricciardo,3,RIC,Renault,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Kimi Räikkönen,7,RAI,Alfa Romeo,13,0
Lando Norris,4,NOR,McLaren,12,0
Nico Hülkenberg,27,HUL,Renault,12,0
Daniil Kvyat,26,KVY,Toro Rosso,10,0
Alexander Albon,23,ALB,Toro Rosso,7,0
Lance Stroll,18,STR,Racing Point,6,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,187,6
Valtteri Bottas,77,BOT,Mercedes,151,2
Sebastian Vettel,5,VET,Ferrari,111,0
Max Verstappen,33,VER,Red Bull,100,0
Charles Leclerc,16,LEC,Ferrari,87,0
Pierre Gasly,10,GAS,Red Bull,37,0
Carlos Sainz,55,SAI,McLaren,26,0
Kimi Räikkönen,7,RAI,Alfa Romeo,19,0
Daniel Ricciardo,3,RIC,Renault,16,0
Nico Hülkenberg,27,HUL,Renault,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Lando Norris,4,NOR,McLaren,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Daniil Kvyat,26,KVY,Toro Rosso,10,0
Alexander Albon,23,ALB,Toro Rosso,7,0
Lance Stroll,18,STR,Racing Point,6,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,197,6
Valtteri Bottas,77,BOT,Mercedes,166,2
Max Verstappen,33,VER,Red Bull,126,1
Sebastian Vettel,5,VET,Ferrari,123,0
Charles Leclerc,16,LEC,Ferrari,105,0
Pierre Gasly,10,GAS,Red Bull,43,0
Carlos Sainz,55,SAI,McLaren,30,0
Lando Norris,4,NOR,McLaren,22,0
Kimi Räikkönen,7,RAI,Alfa Romeo,21,0
Daniel Ricciardo,3,RIC,Renault,16,0
Nico Hülkenberg,27,HUL,Renault,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Daniil Kvyat,26,KVY,Toro Rosso,10,0
Alexander Albon,23,ALB,Toro Rosso,7,0
Lance Stroll,18,STR,Racing Point,6,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,223,7
Valtteri Bottas,77,BOT,Mercedes,184,2
Max Verstappen,33,VER,Red Bull,136,1
Sebastian Vettel,5,VET,Ferrari,123,0
Charles Leclerc,16,LEC,Ferrari,120,0
Pierre Gasly,10,GAS,Red Bull,55,0
Carlos Sainz,55,SAI,McLaren,38,0
Kimi Räikkönen,7,RAI,Alfa Romeo,25,0
Lando Norris,4,NOR,McLaren,22,0
Daniel Ricciardo,3,RIC,Renault,22,0
Nico Hülkenberg,27,HUL,Renault,17,0
Kevin Magnussen,20,MAG,Haas F1 Team,14,0
Sergio Pérez,11,PER,Racing Point,13,0
Daniil Kvyat,26,KVY,Toro Rosso,12,0
Alexander Albon,23,ALB,Toro Rosso,7,0
Lance Stroll,18,STR,Racing Point,6,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Robert Kubica,88,KUB,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,225,7
Valtteri Bottas,77,BOT,Mercedes,184,2
Max Verstappen,33,VER,Red Bull,162,2
Sebastian Vettel,5,VET,Ferrari,141,0
Charles Leclerc,16,LEC,Ferrari,120,0
Pierre Gasly,10,GAS,Red Bull,55,0
Carlos Sainz,55,SAI,McLaren,48,0
Daniil Kvyat,26,KVY,Toro Rosso,27,0
Kimi Räikkönen,7,RAI,Alfa Romeo,25,0
Lando Norris,4,NOR,McLaren,22,0
Daniel Ricciardo,3,RIC,Renault,22,0
Lance Stroll,18,STR,Racing Point,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,18,0
Nico Hülkenberg,27,HUL,Renault,17,0
Alexander Albon,23,ALB,Toro Rosso,15,0
Sergio Pérez,11,PER,Racing Point,13,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,250,8
Valtteri Bottas,77,BOT,Mercedes,188,2
Max Verstappen,33,VER,Red Bull,181,2
Sebastian Vettel,5,VET,Ferrari,156,0
Charles Leclerc,16,LEC,Ferrari,132,0
Pierre Gasly,10,GAS,Red Bull,63,0
Carlos Sainz,55,SAI,McLaren,58,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Daniil Kvyat,26,KVY,Toro Rosso,27,0
Lando Norris,4,NOR,McLaren,24,0
Daniel Ricciardo,3,RIC,Renault,22,0
Lance Stroll,18,STR,Racing Point,18,0
Kevin Magnussen,20,MAG,Haas F1 Team,18,0
Nico Hülkenberg,27,HUL,Renault,17,0
Alexander Albon,23,ALB,Toro Rosso,16,0
Sergio Pérez,11,PER,Racing Point,13,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,268,8
Valtteri Bottas,77,BOT,Mercedes,203,2
Max Verstappen,33,VER,Red Bull,181,2
Sebastian Vettel,5,VET,Ferrari,169,0
Charles Leclerc,16,LEC,Ferrari,157,1
Pierre Gasly,10,GAS,Red Bull,65,0
Carlos Sainz,55,SAI,McLaren,58,0
Daniil Kvyat,26,KVY,Toro Rosso,33,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Alexander Albon,23,ALB,Toro Rosso,26,0
Lando Norris,4,NOR,McLaren,24,0
Daniel Ricciardo,3,RIC,Renault,22,0
Sergio Pérez,11,PER,Racing Point,21,0
Nico Hülkenberg,27,HUL,Renault,21,0
Lance Stroll,18,STR,Racing Point,19,0
Kevin Magnussen,20,MAG,Haas F1 Team,18,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,284,8
Valtteri Bottas,77,BOT,Mercedes,221,2
Max Verstappen,33,VER,Red Bull,185,2
Charles Leclerc,16,LEC,Ferrari,182,2
Sebastian Vettel,5,VET,Ferrari,169,0
Pierre Gasly,10,GAS,Red Bull,65,0
Carlos Sainz,55,SAI,McLaren,58,0
Daniel Ricciardo,3,RIC,Renault,34,0
Alexander Albon,23,ALB,Toro Rosso,34,0
Daniil Kvyat,26,KVY,Toro Rosso,33,0
Nico Hülkenberg,27,HUL,Renault,31,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Sergio Pérez,11,PER,Racing Point,27,0
Lando Norris,4,NOR,McLaren,25,0
Lance Stroll,18,STR,Racing Point,19,0
Kevin Magnussen,20,MAG,Haas F1 Team,18,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,3,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,296,8
Valtteri Bottas,77,BOT,Mercedes,231,2
Charles Leclerc,16,LEC,Ferrari,200,2
Max Verstappen,33,VER,Red Bull,200,2
Sebastian Vettel,5,VET,Ferrari,194,1
Pierre Gasly,10,GAS,Red Bull,69,0
Carlos Sainz,55,SAI,McLaren,58,0
Alexander Albon,23,ALB,Toro Rosso,42,0
Daniel Ricciardo,3,RIC,Renault,34,0
Daniil Kvyat,26,KVY,Toro Rosso,33,0
Nico Hülkenberg,27,HUL,Renault,33,0
Lando Norris,4,NOR,McLaren,31,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Sergio Pérez,11,PER,Racing Point,27,0
Lance Stroll,18,STR,Racing Point,19,0
Kevin Magnussen,20,MAG,Haas F1 Team,18,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,322,9
Valtteri Bottas,77,BOT,Mercedes,249,2
Charles Leclerc,16,LEC,Ferrari,215,2
Max Verstappen,33,VER,Red Bull,212,2
Sebastian Vettel,5,VET,Ferrari,194,1
Pierre Gasly,10,GAS,Red Bull,69,0
Carlos Sainz,55,SAI,McLaren,66,0
Alexander Albon,23,ALB,Toro Rosso,52,0
Lando Norris,4,NOR,McLaren,35,0
Daniel Ricciardo,3,RIC,Renault,34,0
Nico Hülkenberg,27,HUL,Renault,34,0
Daniil Kvyat,26,KVY,Toro Rosso,33,0
Sergio Pérez,11,PER,Racing Point,33,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Lance Stroll,18,STR,Racing Point,19,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,338,9
Valtteri Bottas,77,BOT,Mercedes,274,3
Charles Leclerc,16,LEC,Ferrari,223,2
Max Verstappen,33,VER,Red Bull,212,2
Sebastian Vettel,5,VET,Ferrari,212,1
Carlos Sainz,55,SAI,McLaren,76,0
Pierre Gasly,10,GAS,Red Bull,75,0
Alexander Albon,23,ALB,Toro Rosso,64,0
Sergio Pérez,11,PER,Racing Point,37,0
Lando Norris,4,NOR,McLaren,35,0
Daniil Kvyat,26,KVY,Toro Rosso,34,0
Daniel Ricciardo,3,RIC,Renault,34,0
Nico Hülkenberg,27,HUL,Renault,34,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Lance Stroll,18,STR,Racing Point,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,363,10
Valtteri Bottas,77,BOT,Mercedes,289,3
Charles Leclerc,16,LEC,Ferrari,236,2
Sebastian Vettel,5,VET,Ferrari,230,1
Max Verstappen,33,VER,Red Bull,220,2
